Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,O[C@H]1C[C@]2(C)CC[C@H](C[C@H]1C)C2,C11H20O,168.28,12,0,1.00,0,1,1,51.66,20.23,2.61,3.20,2.58,2.74,2.36,2.70,-2.90,2.12e-01,1.26e-03,Soluble,-3.30,8.50e-02,5.05e-04,Soluble,-1.87,2.29e+00,1.36e-02,Soluble,High,Yes,No,No,No,No,No,No,-5.05,0,0,0,0,2,0.55,0,0,1,3.62
Molecule 2,ONc1cccc2c1OC1=C(O2)C(=C[C@@H]([C@H]1C)N(C)C)C,C16H20N2O3,288.34,21,6,0.38,2,4,2,80.83,53.96,3.13,2.09,2.81,1.66,1.07,2.15,-3.02,2.73e-01,9.47e-04,Soluble,-2.85,4.04e-01,1.40e-03,Soluble,-3.15,2.02e-01,7.00e-04,Soluble,High,Yes,Yes,No,No,No,Yes,No,-6.57,0,0,0,0,0,0.55,0,1,0,4.44
Molecule 3,Fc1ncccc1[C@H]1CC[C@@H](O)[C@]2(C(=O)CC1)CCO2,C15H18FNO3,279.31,20,6,0.60,1,5,1,70.68,59.42,1.90,1.18,2.39,1.11,2.80,1.87,-2.47,9.44e-01,3.38e-03,Soluble,-2.02,2.65e+00,9.47e-03,Soluble,-3.66,6.11e-02,2.19e-04,Soluble,High,Yes,Yes,No,No,No,No,No,-7.17,0,0,0,0,0,0.55,0,1,0,3.97
Molecule 4,OC[C@@H]1C=C[C@@H](C=C1)C(=O)O,C8H10O3,154.16,11,0,0.38,2,3,2,40.44,57.53,1.22,0.51,0.42,0.48,-0.07,0.51,-0.99,1.60e+01,1.03e-01,Very soluble,-1.29,7.93e+00,5.15e-02,Very soluble,0.66,7.08e+02,4.59e+00,Soluble,High,No,No,No,No,No,No,No,-6.88,0,1,0,0,1,0.85,0,1,1,3.76
Molecule 5,CNC(=NC)[C@@H]1CC=CC2C(=NC1)NN1C(C=C2)CC[C@@H]([C@@H]1C)C(=O)N[C@@H](c1ccccc1O)CN=CN[C@H](OC(=O)C)C,C32H46N8O4,606.76,44,6,0.53,12,8,5,184.11,152.04,2.36,2.19,0.99,2.72,2.17,2.09,-4.29,3.11e-02,5.12e-05,Moderately soluble,-5.02,5.84e-03,9.62e-06,Moderately soluble,-5.15,4.33e-03,7.13e-06,Moderately soluble,Low,No,No,No,No,No,No,Yes,-8.45,2,3,2,1,2,0.17,1,4,2,7.02
Molecule 6,CCC1C(=CC=CC2C1C=C(C=C2)OC(O)(C)C)C=N,C17H23NO2,273.37,20,0,0.47,4,3,2,83.58,53.31,2.88,3.26,3.59,2.38,2.14,2.85,-3.32,1.29e-01,4.73e-04,Soluble,-4.05,2.42e-02,8.84e-05,Moderately soluble,-1.68,5.67e+00,2.07e-02,Soluble,High,Yes,No,No,No,Yes,No,No,-5.65,0,0,0,0,0,0.55,0,2,0,4.90
Molecule 7,OC[C@H](C1C(=O)c2c(C1=O)cccc2)O,C11H10O4,206.19,15,6,0.27,2,4,2,51.85,74.60,1.05,0.88,0.04,-0.44,1.40,0.58,-1.84,3.00e+00,1.46e-02,Very soluble,-2.03,1.92e+00,9.31e-03,Soluble,-2.08,1.70e+00,8.24e-03,Soluble,High,No,No,No,No,No,No,No,-6.93,0,0,0,0,0,0.55,1,1,1,2.29
Molecule 8,CN(CCC[C@H]1[C@H](C)[C@@H]2[C@@H]3[C@H]1CCCN[C@H]3CC2)C,C17H32N2,264.45,19,0,1.00,4,2,1,87.10,15.27,3.57,3.19,2.61,3.38,2.51,3.05,-3.23,1.57e-01,5.95e-04,Soluble,-3.18,1.74e-01,6.57e-04,Soluble,-3.31,1.29e-01,4.89e-04,Soluble,High,Yes,No,No,No,No,Yes,No,-5.65,0,0,0,0,0,0.55,0,0,0,3.51
Molecule 9,O[C@@H]1CSC[C@@](C1)(C)C(=O)Nc1ccccc1,C13H17NO2S,251.34,17,6,0.46,3,2,2,71.17,74.63,1.84,1.59,1.94,1.72,2.20,1.86,-2.46,8.65e-01,3.44e-03,Soluble,-2.77,4.28e-01,1.70e-03,Soluble,-3.47,8.48e-02,3.37e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.70,0,0,0,0,0,0.55,0,0,0,3.09
Molecule 10,CC[C@@]1(O)CCCCO[C@H]([C@H]1C)C[C@H](O)C,C13H26O3,230.34,16,0,1.00,3,3,2,65.94,49.69,2.84,1.98,2.10,1.49,2.24,2.13,-2.32,1.11e+00,4.81e-03,Soluble,-2.65,5.16e-01,2.24e-03,Soluble,-1.97,2.46e+00,1.07e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.30,0,0,0,0,0,0.55,0,0,1,3.94
Molecule 11,OC[C@@H](C(=N[C@H]1CN[C@H](c2c1cc(O)cc2)[C@]12CCC[C@H](N1)[C@H]([C@@H]2S)C)C)C,C22H33N3O2S,403.58,28,6,0.68,4,5,4,125.60,115.68,3.20,1.69,1.59,1.78,3.27,2.31,-3.30,2.02e-01,4.99e-04,Soluble,-3.73,7.44e-02,1.84e-04,Soluble,-4.69,8.18e-03,2.03e-05,Moderately soluble,High,No,Yes,No,Yes,No,Yes,No,-7.56,0,0,0,0,0,0.55,0,2,1,5.70
