Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,CC(c1ccc(cc1O)N1COCC1)C,C12H17NO2,207.27,15,6,0.5,2,2,1,63.96,32.7,2.4,2.54,1.93,1.81,2.19,2.17,-2.89,2.67E-01,1.29E-03,Soluble,-2.87,2.77E-01,1.34E-03,Soluble,-2.56,5.74E-01,2.77E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.76,0,0,0,0,0,0.55,0,0,1,2.12
Molecule 2,Cc1ncccc1[C@H]1CC=C(N=C1Cl)CC,C13H15ClN2,234.72,16,6,0.38,2,2,0,72.23,25.25,2.58,3.08,3.43,2.1,4.32,3.1,-3.38,9.76E-02,4.16E-04,Soluble,-3.28,1.24E-01,5.28E-04,Soluble,-4.77,4.00E-03,1.70E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.55,0,0,0,0,0,0.55,0,0,1,3.55
Molecule 3,CC(C[C@H]1OC[C@H]([C@H]2N1C(=NC2=O)C)c1cccc(c1O)O)(C)C,C18H24N2O4,332.39,24,6,0.56,3,5,2,98.95,82.36,2.52,2.33,1.84,1.47,2.36,2.1,-3.36,1.47E-01,4.41E-04,Soluble,-3.7,6.65E-02,2.00E-04,Soluble,-3.19,2.15E-01,6.47E-04,Soluble,High,No,Yes,No,No,No,Yes,No,-6.67,0,0,0,0,0,0.55,1,1,0,4.7
Molecule 4,O[C@H]1CC=C[C@](C1)(C)CCOc1ccc(cc1)C(=O)O,C16H20O4,276.33,20,6,0.44,5,4,2,76.66,66.76,2.48,3.01,2.87,2.23,2.44,2.6,-3.34,1.26E-01,4.55E-04,Soluble,-4.08,2.32E-02,8.38E-05,Moderately soluble,-3.09,2.25E-01,8.15E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.85,0,0,0,0,0,0.85,0,1,0,3.31
Molecule 5,CC1=C[C@H]2C[C@]3(C)CC[C@@H](C[C@H]3O)C[C@H]([C@H]([C@@H]3[C@@H](NC4=C(CO[C@@H]2[C@H](C1)[C@@H]4c1ccccc1)O)C=CC=C3)O)C,C35H47NO4,545.75,40,6,0.6,1,4,4,164.98,81.95,4.4,5.77,5.8,3.82,3.09,4.58,-6.9,6.81E-05,1.25E-07,Poorly soluble,-7.26,3.00E-05,5.50E-08,Poorly soluble,-5.08,4.53E-03,8.30E-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-5.53,1,4,0,0,1,0.55,0,1,2,8.54
Molecule 6,CNc1cccc(c1Cl)[C@@H]1[C@@H]2CC(=O)C[C@@H]2C2C1=CC(C)C=CC2,C21H24ClNO,341.87,24,6,0.48,2,1,1,101.12,29.1,3.33,4.2,5.02,4.44,4.16,4.23,-4.66,7.50E-03,2.19E-05,Moderately soluble,-4.52,1.03E-02,3.02E-05,Moderately soluble,-5.43,1.27E-03,3.72E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.4,1,0,0,0,0,0.55,0,1,1,4.47
Molecule 7,C[C@@H]1NO[C@@H](C1)C[C@@]1(CC[C@H](NO[C@H]1Cc1ccccc1)[C@@H]1CC[C@@H](O1)C)N1CCCN1,C25H40N4O3,444.61,32,6,0.76,6,7,3,139.73,67.02,4.46,3.68,1.35,3.06,2.31,2.97,-4.66,9.78E-03,2.20E-05,Moderately soluble,-4.78,7.42E-03,1.67E-05,Moderately soluble,-5.34,2.05E-03,4.60E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.4,0,2,0,0,0,0.55,0,0,2,5.94
Molecule 8,CCC[C@@H]1OC=C[C@H](C1)[C@H]1CC[C@@H](C=C1)C,C15H24O,220.35,16,0,0.73,3,1,0,70.13,9.23,3.46,4.62,4.31,3.56,3.16,3.82,-3.92,2.66E-02,1.21E-04,Soluble,-4.54,6.37E-03,2.89E-05,Moderately soluble,-2.41,8.61E-01,3.91E-03,Soluble,High,Yes,No,No,Yes,Yes,No,No,-4.36,0,0,0,0,1,0.55,0,1,2,4.9
Molecule 9,CC[C@@H](CC(=O)N[C@@H]1CC(=C[C@@H]2C1C=CC=C2C(=O)O)[C@H](C(=CC)C)O)C,C22H31NO4,373.49,27,0,0.55,8,4,3,107.68,86.63,3.19,3.41,3.38,2.57,2.71,3.05,-3.78,6.26E-02,1.68E-04,Soluble,-4.91,4.61E-03,1.23E-05,Moderately soluble,-2.29,1.93E+00,5.16E-03,Soluble,High,No,Yes,No,No,Yes,No,Yes,-6.16,0,0,0,0,0,0.56,0,1,2,5.39
Molecule 10,S=C([C@@H]([C@@]1(C)CCC[C@H]1C(O)(C)C)C)C[C@@H]1CC=C2[C@@H](C1)CCCC2,C23H38OS,362.61,25,0,0.87,5,1,1,114.59,52.32,4.14,6,6.49,5.41,6.76,5.76,-5.54,1.05E-03,2.90E-06,Moderately soluble,-6.88,4.82E-05,1.33E-07,Poorly soluble,-4.67,7.72E-03,2.13E-05,Moderately soluble,High,No,No,No,Yes,Yes,No,No,-4.25,1,1,0,1,1,0.55,1,2,2,5.37
Molecule 11,C[C@@H]1CNC(=NCC[C@H]2CCCO2)C1,C11H20N2O,196.29,14,0,0.91,3,2,1,62.25,33.62,2.62,0.92,1.2,1.6,2.73,1.81,-1.44,7.15E+00,3.64E-02,Very soluble,-1.21,1.21E+01,6.14E-02,Very soluble,-2.66,4.26E-01,2.17E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.84,0,0,0,0,1,0.55,0,1,1,3.68
Molecule 12,NC(=O)[C@H]([C@H]1C[C@@H]2N(N1)C1=NC(=CC=CC1=C([C@@H]2O)O)Cl)C,C14H17ClN4O3,324.76,22,0,0.43,2,5,4,92.62,111.18,0.29,-0.17,-0.85,0.22,-0.68,-0.24,-1.61,7.89E+00,2.43E-02,Very soluble,-1.71,6.34E+00,1.95E-02,Very soluble,-0.38,1.35E+02,4.17E-01,Soluble,High,No,Yes,No,No,No,No,No,-8.4,0,1,0,0,0,0.55,0,1,0,5.16
Molecule 13,CCCCO[C@H]1C[C@H](C[C@H]2N1O/C=C/C=C\C=C\C/[S]=C(\CN[C@H]2C)/OCC)[P@](=O)(OCCC)O,C25H44N2O6PS,531.67,35,0,0.72,10,8,2,153.18,131.39,0.29,-0.17,4.26,0.22,-0.68,-0.24,-1.61,7.89E+00,2.43E-02,Very soluble,-1.71,6.34E+00,1.95E-02,Very soluble,-0.38,1.35E+02,4.17E-01,Soluble,High,No,Yes,No,No,No,No,No,-8.4,0,1,0,0,0,0.55,0,1,0,5.16
